user_id,item_18154,item_27769,item_6453,item_47239,item_6557,item_13201,item_79785,item_67012,item_16798,item_2649,item_26663,item_31852,item_71463,item_82962,item_29964,item_58379,item_55080,item_85470,item_44838,item_94019,item_42375,item_73848,item_46658,item_24690,item_44580,item_81206,item_90598,item_16111,item_20066,item_51341,item_66219,item_63336,item_55103,item_78408,item_50786,item_23106,item_51576,item_17602,item_16359,item_35508,item_84452,item_41330,item_5931,item_62344,item_4752,item_58398,item_32805,item_47530,item_15051,item_42378,item_61135,item_75776,item_35983,item_47612,item_80552,item_2173,item_39238,item_75516,item_36967,item_36878,item_82177,item_51664,item_28867,item_37966,item_41888,item_9115,item_9390,item_21333,item_11624,item_59952,item_13193,item_25125,item_55990,item_90364,item_4403,groupId
user_47500,59,8,55,62,25,59,74,48,1,39,13,88,30,10,35,13,98,76,56,15,83,15,41,28,42,32,94,99,86,52,38,26,42,2,3,71,97,81,38,61,100,47,21,16,54,50,75,79,9,98,63,22,97,77,47,36,34,9,9,76,41,59,2,11,52,67,57,58,99,53,4,40,78,34,2,5003
user_78798,23,7,16,43,43,66,6,26,88,80,38,35,36,88,8,7,10,92,38,18,72,6,66,38,55,55,41,43,64,73,49,80,78,71,30,84,45,67,98,29,65,78,97,92,97,85,54,33,32,9,6,24,25,1,21,74,43,48,60,54,97,85,40,42,89,81,4,73,43,63,6,1,75,89,74,5003
user_5954,11,94,25,67,68,13,9,48,97,98,44,90,79,57,34,84,97,75,86,14,14,80,42,81,41,70,92,93,36,91,46,38,91,94,10,44,72,35,88,22,12,16,45,37,23,54,20,40,69,92,75,60,7,42,33,18,79,36,21,29,69,6,13,93,74,46,62,65,17,91,41,81,3,63,36,5004
user_15095,34,55,33,97,84,6,63,70,75,84,83,56,63,66,7,28,62,52,71,1,79,99,11,19,77,47,12,97,93,57,48,13,42,79,27,49,12,91,84,51,17,44,60,53,43,54,76,91,19,61,12,4,45,7,36,45,26,86,42,57,82,25,5,78,100,71,50,72,38,38,86,77,4,53,47,5004
user_97249,52,6,64,33,76,11,52,97,87,22,56,80,16,42,91,99,24,21,65,26,93,62,96,11,66,70,6,64,80,30,3,63,12,51,48,80,81,19,84,5,84,54,39,53,82,5,22,16,99,77,46,96,89,83,34,64,79,18,82,5,46,2,58,86,25,15,94,53,80,64,100,97,40,30,7,5004
user_46857,56,44,45,33,61,29,61,19,99,27,62,47,66,29,7,77,70,47,25,28,15,73,3,15,19,69,62,13,49,77,92,43,38,96,17,80,34,3,9,2,85,48,65,98,43,99,55,71,52,90,73,54,14,36,11,80,19,98,28,69,94,41,7,5,46,8,48,85,25,56,38,82,64,49,68,5004
user_80476,83,95,96,72,16,26,53,1,42,32,28,90,73,21,52,80,20,7,40,94,19,23,39,51,83,55,86,34,91,3,15,75,85,74,46,71,78,47,46,5,4,8,15,57,42,15,25,68,45,57,65,7,92,56,32,67,92,62,29,11,40,99,33,87,78,48,75,64,39,2,31,29,82,11,13,5005
user_71578,42,57,47,82,42,70,85,90,60,82,1,57,55,85,70,50,73,37,45,15,72,21,89,74,29,14,94,42,30,53,82,44,76,94,82,72,14,43,60,67,28,68,19,50,17,4,94,42,30,88,72,26,59,69,66,2,28,24,18,59,6,68,85,21,77,43,37,1,100,8,13,23,6,89,49,5005
user_71395,64,78,18,54,16,57,62,31,54,40,63,96,22,76,64,28,16,62,88,54,29,69,15,31,76,22,92,34,100,29,37,26,2,38,55,86,64,85,16,82,5,18,100,82,21,55,83,43,73,10,86,76,83,14,89,2,20,16,75,94,18,52,29,74,82,79,81,59,15,50,96,99,10,14,52,5005
user_9712,36,94,76,71,11,72,46,36,4,70,40,68,1,10,74,52,50,99,65,82,5,37,31,9,68,18,69,37,59,35,52,72,45,80,46,1,77,42,18,36,50,16,47,72,66,40,71,16,77,89,14,90,80,59,29,29,34,23,57,100,13,97,75,87,37,27,72,58,85,6,81,18,21,51,66,5005
user_31310,80,46,52,12,30,75,63,28,97,38,20,73,65,70,31,73,57,83,2,41,89,18,5,77,75,26,71,28,4,78,73,26,17,11,72,82,16,11,60,94,96,83,32,5,79,59,41,43,18,37,71,62,56,84,28,11,71,81,29,75,83,28,74,71,19,70,43,18,68,5,17,53,79,47,13,5006
user_45734,9,28,87,63,20,52,17,64,100,96,86,40,63,20,19,92,91,35,16,71,38,55,26,93,58,75,72,46,71,98,1,90,55,92,55,100,31,41,99,5,21,95,84,82,10,2,11,19,63,59,27,54,33,62,13,19,71,84,31,75,78,6,5,67,65,52,91,3,29,78,18,82,5,50,29,5006
user_67966,84,69,37,59,61,20,8,28,61,18,7,78,13,34,53,77,49,32,78,36,66,79,8,100,83,91,1,91,80,35,17,86,30,41,17,17,31,51,11,29,51,63,76,77,100,55,45,88,57,64,50,22,96,51,92,22,88,62,91,42,33,49,69,78,44,51,25,32,46,9,38,69,16,30,58,5006
user_30002,96,21,91,58,71,86,2,35,73,75,2,64,71,44,24,3,88,100,78,55,7,42,46,33,79,58,76,42,23,47,14,69,50,92,73,4,52,58,3,3,44,49,24,52,47,40,48,67,3,33,80,65,74,86,48,29,85,6,9,96,95,64,17,28,84,14,38,43,80,41,36,63,82,35,54,5006
user_9263,53,55,53,22,33,71,91,85,70,30,35,43,87,65,56,31,55,22,5,67,33,47,28,80,17,83,65,91,14,60,29,86,33,25,77,47,82,98,5,41,54,6,3,41,62,17,37,99,76,66,62,34,36,89,51,85,60,62,59,97,8,64,56,10,89,44,99,83,14,70,57,7,4,82,98,5007
user_42179,36,71,10,35,90,57,60,91,20,4,2,33,66,51,3,32,62,45,20,92,40,17,75,64,19,84,57,89,74,10,3,53,91,24,29,79,91,87,59,33,8,80,86,18,67,34,54,50,84,53,38,93,70,16,25,44,25,68,69,53,69,57,61,85,65,5,50,28,59,64,32,50,72,82,9,5007
user_73764,24,59,48,37,15,26,15,30,51,64,49,20,40,33,53,4,92,60,39,45,8,28,21,66,45,53,68,7,1,77,67,67,95,79,73,7,76,55,35,10,1,32,56,38,73,95,78,64,28,20,37,100,2,47,76,57,89,10,36,10,27,85,86,3,48,12,96,46,38,50,64,36,63,70,25,5007
user_18407,53,11,16,99,3,23,87,32,4,3,45,62,61,36,32,11,100,76,7,89,21,69,27,100,38,84,69,51,10,36,67,89,25,82,90,92,65,51,10,67,27,51,67,98,3,85,72,27,76,41,65,38,40,40,49,6,3,93,8,30,45,69,10,37,46,45,58,60,6,59,3,65,27,29,30,5007
user_76542,81,93,65,93,82,60,26,33,20,7,74,80,89,79,71,29,75,7,64,72,91,100,13,71,86,10,83,45,44,1,75,73,61,86,50,1,86,26,71,63,51,68,5,23,99,6,6,74,85,71,76,17,5,47,19,71,20,56,3,2,65,51,2,89,64,94,44,34,65,2,88,4,92,85,9,5008
user_71532,86,67,45,25,47,93,17,72,48,2,34,3,6,97,64,82,29,56,16,35,29,58,19,62,53,41,46,97,89,23,42,87,73,75,53,43,7,30,70,39,94,9,23,14,61,16,17,38,48,54,87,46,13,24,100,79,53,56,90,70,19,51,11,6,8,48,89,63,23,93,60,91,5,77,43,5008
user_2491,76,96,12,40,63,84,78,17,35,57,93,46,79,23,25,53,100,89,87,26,49,74,24,1,15,80,90,29,42,71,42,89,55,10,85,1,85,71,39,33,15,41,9,97,16,76,73,85,2,87,29,37,41,74,60,98,27,89,78,42,88,13,41,94,80,12,48,90,36,7,32,71,79,77,82,5008
user_22688,10,46,13,20,76,27,49,43,3,96,84,81,74,28,85,5,55,68,87,64,96,59,90,83,3,65,32,29,8,61,39,49,13,86,85,29,85,15,30,57,84,40,48,94,49,36,70,45,36,39,49,51,64,90,40,82,18,75,44,61,53,81,68,29,59,88,64,31,19,14,79,46,16,55,2,5008
user_29256,40,4,99,84,83,10,5,19,6,26,64,12,4,47,14,47,47,6,52,69,15,53,60,46,64,14,77,13,98,17,76,67,60,89,44,61,76,73,53,32,77,49,43,34,66,13,16,82,5,63,3,46,68,73,38,82,85,4,9,46,4,66,29,83,50,68,37,60,58,62,83,48,49,60,43,5009
user_3479,72,56,47,89,44,91,23,23,67,8,39,47,42,60,85,10,62,77,69,46,89,3,58,66,61,72,62,81,78,4,30,89,73,18,19,5,81,37,43,64,88,46,11,77,69,90,15,79,69,8,31,19,30,79,6,26,42,83,60,71,79,89,57,60,67,100,78,27,61,16,35,49,5,70,41,5009
user_73909,40,69,75,96,69,63,23,84,13,69,22,29,26,44,63,74,55,22,85,19,33,35,16,3,11,84,24,22,23,79,2,57,67,28,86,26,33,13,62,15,43,11,94,9,95,5,33,96,55,93,94,21,16,57,34,37,67,93,59,38,26,72,80,48,4,95,98,75,91,4,57,91,66,53,74,5009
user_59256,59,57,52,60,42,16,53,84,46,41,72,84,47,37,68,58,36,38,96,70,90,13,48,38,35,36,25,62,88,74,32,48,31,12,4,48,35,76,63,10,82,85,98,38,64,45,91,36,68,71,21,55,82,52,86,94,31,4,3,28,91,98,6,71,94,17,74,5,64,24,92,62,21,91,80,5009
user_29134,47,69,11,14,27,56,63,85,56,52,32,44,6,72,58,17,25,48,24,12,11,10,5,57,61,47,86,28,86,10,76,77,75,96,35,63,79,94,50,79,11,59,13,53,23,33,20,10,35,76,24,75,41,77,79,92,87,99,44,24,49,23,19,10,71,43,24,15,17,23,57,32,40,3,40,5010
user_3391,91,15,30,82,18,96,15,67,48,98,48,100,99,61,56,15,37,86,13,42,22,67,38,100,83,17,15,54,56,4,13,66,44,8,7,94,79,81,100,51,26,50,38,20,25,21,42,15,64,17,89,40,1,89,51,1,99,54,31,11,79,20,80,31,43,16,52,62,87,54,50,10,68,18,54,5010
user_94993,69,20,82,37,66,9,86,34,29,60,58,83,59,18,65,81,76,67,3,59,89,42,52,74,9,64,36,15,67,59,65,36,56,20,83,95,100,92,21,84,68,17,70,41,24,51,70,95,16,81,71,43,79,87,38,97,31,74,59,73,32,96,9,2,34,94,57,50,24,50,28,67,15,9,48,5010
user_48589,74,53,62,24,63,47,14,46,83,57,47,96,44,96,99,41,75,27,17,97,37,43,38,41,28,65,36,19,3,70,7,67,30,89,60,38,92,57,100,80,23,98,37,30,2,98,82,34,2,90,63,39,99,13,60,15,49,77,59,90,6,33,25,78,36,52,71,35,60,88,24,15,48,95,81,5010
user_45003,50,83,32,33,22,18,41,1,87,98,8,8,52,96,43,3,44,35,77,97,15,47,86,62,78,91,40,2,91,33,37,42,20,46,14,27,15,36,89,83,78,11,25,73,73,37,98,7,16,82,85,87,62,61,8,39,48,19,38,45,41,1,87,28,59,18,77,15,50,13,57,51,89,6,57,5011
user_13418,99,86,79,6,89,57,28,48,70,81,13,70,49,83,45,87,8,22,25,54,50,23,23,74,26,20,77,40,26,79,55,46,9,88,4,48,49,34,32,17,23,21,36,81,58,50,14,10,37,1,15,95,33,33,94,40,47,74,62,94,22,1,26,34,7,54,24,8,31,85,79,68,64,69,72,5011
user_48519,92,26,60,28,72,31,3,78,72,62,65,8,90,13,97,51,70,87,54,33,2,18,7,93,57,67,47,1,99,34,42,88,20,24,88,41,32,52,90,36,28,26,68,63,57,58,30,51,52,84,82,31,47,71,3,38,35,94,74,88,48,48,6,95,36,69,37,43,8,27,14,42,72,60,47,5011
user_93682,17,2,5,77,1,29,83,49,78,12,26,98,25,22,30,76,30,24,21,17,98,17,40,90,100,44,87,42,35,49,38,83,59,92,24,65,78,46,5,60,44,26,100,86,47,21,72,56,51,36,70,88,51,62,21,78,58,65,51,95,27,14,73,27,52,81,43,93,2,53,93,66,14,58,66,5011
user_40690,80,68,2,37,1,91,22,33,84,48,16,85,58,32,74,43,68,42,44,28,13,80,98,50,91,91,25,7,82,48,2,57,97,15,17,69,60,57,38,32,58,1,39,53,70,96,98,32,89,86,45,38,40,92,93,23,25,81,6,15,89,31,52,7,48,97,7,100,98,52,74,6,29,38,63,5012
user_73038,93,19,68,14,32,99,73,50,5,37,31,13,94,11,89,75,70,50,90,3,21,3,1,5,36,41,51,30,77,81,74,34,51,7,7,6,78,14,18,81,90,10,68,2,18,18,27,82,18,26,95,61,20,37,86,90,90,16,29,15,33,52,92,94,15,42,53,82,80,8,93,43,49,31,42,5012
user_86685,28,16,89,3,93,5,5,68,67,72,72,74,48,24,92,96,21,11,72,40,1,24,10,61,22,97,18,84,19,66,4,2,28,18,85,28,2,70,19,12,53,98,65,88,6,21,56,74,44,65,72,41,16,77,97,50,3,53,17,43,64,59,33,10,13,1,85,98,93,92,84,58,53,93,86,5012
user_1921,86,88,51,35,25,57,14,84,60,81,29,82,39,45,28,80,51,58,40,57,66,46,71,86,17,3,68,8,83,75,3,22,69,63,64,51,31,93,27,41,95,20,42,76,58,63,45,14,36,5,37,42,34,84,81,14,25,85,90,6,76,77,74,41,36,57,11,84,74,28,80,71,5,66,26,5012
user_84180,54,23,24,3,35,90,83,34,5,37,78,89,16,84,72,86,26,18,30,27,39,83,93,63,63,70,31,21,63,93,7,19,8,96,67,94,20,72,38,1,67,83,59,66,14,85,8,11,79,69,58,49,89,47,49,85,96,46,61,10,71,43,67,42,5,23,99,33,57,77,57,99,10,15,65,5013
user_54347,35,5,51,53,97,69,37,97,6,8,42,90,38,99,84,22,84,8,58,20,17,64,34,99,13,46,58,36,71,52,25,71,26,15,44,61,13,1,97,3,80,73,39,33,86,21,51,86,20,40,23,31,78,68,45,85,80,78,80,57,30,59,22,41,84,95,51,40,40,45,1,93,87,53,30,5013
user_27189,10,65,27,53,1,82,16,91,56,55,2,51,30,32,92,69,54,15,97,10,64,18,5,16,66,19,46,43,33,37,98,95,63,97,55,44,20,13,25,12,82,41,91,53,96,16,47,7,41,56,72,6,52,59,76,24,66,11,53,37,67,25,93,75,10,27,22,34,19,4,66,96,52,70,19,5013
user_62137,35,83,55,69,100,88,88,42,49,57,28,62,71,84,65,48,81,73,7,68,95,38,83,18,59,50,55,91,54,66,22,59,92,47,39,60,23,56,9,80,56,44,82,57,24,21,66,97,34,10,77,44,39,52,48,17,9,68,2,79,32,3,48,14,85,52,10,94,37,94,13,90,73,100,1,5013
user_76665,89,59,57,41,24,21,63,23,18,5,81,91,16,90,74,52,93,3,50,82,48,68,93,39,56,74,58,33,23,40,54,50,49,42,35,50,15,77,33,98,26,29,78,65,1,81,42,15,62,14,66,74,63,84,99,61,29,90,34,1,26,40,10,2,35,72,1,24,25,17,24,86,84,72,48,5014
user_48328,53,70,12,10,86,66,84,60,62,85,11,92,69,9,79,13,86,31,54,75,49,87,20,56,59,92,69,65,87,36,27,57,57,60,42,89,53,62,11,93,63,54,97,16,40,85,33,64,98,74,52,5,69,68,81,61,47,84,62,57,3,94,64,19,79,78,80,64,56,49,94,17,91,46,84,5014
user_2922,16,29,48,34,37,93,50,61,15,95,70,2,31,83,100,36,91,29,48,33,98,62,15,42,40,64,13,55,6,38,15,40,72,70,12,32,31,67,65,60,77,99,23,42,12,62,18,71,53,58,56,12,65,40,62,91,49,77,99,48,47,76,24,47,79,42,57,42,92,4,58,92,48,31,81,5014
user_98576,35,92,8,68,30,99,6,66,19,80,6,48,88,1,44,99,22,35,2,71,71,97,77,59,82,9,18,61,35,41,76,44,47,81,37,93,26,81,83,8,91,85,55,5,17,26,53,99,89,32,89,6,42,3,33,96,30,66,2,44,3,52,46,81,39,44,27,63,5,28,57,57,99,7,25,5014
user_25388,46,51,81,92,32,78,47,31,100,14,77,79,65,68,34,32,27,12,19,76,92,85,36,44,88,35,38,13,91,86,60,7,3,7,36,84,2,13,82,2,34,4,33,61,83,69,84,55,63,62,11,60,36,2,4,25,57,77,27,93,36,58,71,54,14,57,59,95,77,97,73,27,83,35,87,5015
user_82328,47,4,53,71,63,99,70,17,21,36,8,75,74,93,69,9,17,89,66,10,76,3,26,84,1,46,90,56,1,67,98,17,96,1,24,28,71,41,9,21,26,82,52,32,13,69,88,71,66,37,12,60,90,14,70,60,83,1,63,90,18,82,2,74,38,99,58,68,100,76,84,3,57,98,86,5015
user_94664,66,80,3,72,15,69,30,29,65,6,37,7,65,29,100,35,67,26,35,83,34,2,42,68,55,2,28,90,1,87,90,96,22,39,9,67,15,86,10,48,25,45,66,49,15,77,12,8,17,69,50,7,17,97,37,64,33,70,53,79,53,25,72,52,79,5,98,24,99,45,35,37,64,40,80,5015
user_6564,90,26,78,79,36,42,44,98,100,61,13,84,53,7,57,15,2,86,20,96,83,24,81,4,7,45,43,8,9,5,82,67,59,56,14,24,52,5,63,53,16,49,15,48,91,13,64,78,97,65,79,20,91,43,55,23,97,85,11,88,59,73,39,58,97,94,85,93,67,49,78,34,85,43,10,5015
user_67098,32,100,83,64,86,68,89,31,85,14,23,9,51,42,33,33,8,41,7,21,95,35,81,66,71,13,6,97,79,1,28,39,17,98,44,35,82,13,26,36,78,62,95,50,41,76,55,10,7,3,30,1,98,90,12,25,4,54,18,27,55,42,4,62,76,67,4,6,49,46,95,40,35,77,70,5016
user_72527,11,31,80,72,47,76,6,55,30,33,81,99,12,17,71,2,96,17,10,26,85,47,6,95,89,84,38,35,88,72,86,67,49,9,66,35,98,32,13,44,63,72,92,81,56,66,68,4,10,85,32,37,7,65,12,90,7,97,50,84,25,90,15,14,80,2,100,15,45,38,9,19,24,16,78,5016
user_63660,77,54,4,70,48,49,55,31,57,39,70,83,55,43,30,68,8,66,98,51,17,71,8,76,77,73,50,9,21,67,8,23,50,64,34,92,53,91,83,40,52,82,34,12,85,58,46,73,73,31,90,76,33,6,96,25,57,83,76,75,50,93,55,45,85,86,24,66,87,64,81,11,3,13,19,5016
user_19505,73,72,66,7,6,6,15,63,47,4,73,53,82,25,14,56,11,69,92,60,87,92,55,49,73,71,4,36,96,90,26,25,34,27,60,33,87,71,91,56,76,3,44,26,84,41,44,96,18,98,38,56,8,28,1,24,65,81,6,68,99,70,38,52,2,59,41,88,26,52,100,45,61,53,34,5016
user_31876,15,41,60,92,25,35,1,49,12,54,63,95,29,30,2,78,1,97,65,79,54,37,82,100,64,67,9,92,30,91,62,47,46,19,11,86,80,54,41,35,33,54,43,91,24,92,67,17,17,77,35,51,60,11,1,100,18,46,92,50,86,28,82,42,24,20,78,82,24,9,43,17,25,77,44,5017
user_39659,83,80,48,22,98,31,66,20,98,4,87,53,32,98,76,83,86,68,68,13,64,73,30,75,45,11,81,34,4,31,80,10,65,42,87,32,85,83,70,77,62,38,51,99,55,29,17,21,57,61,38,23,78,37,94,37,18,83,74,12,55,84,47,33,11,43,42,2,26,35,58,87,100,39,31,5017
user_29291,5,70,9,55,8,79,14,22,61,48,96,16,62,68,73,47,78,69,31,54,95,98,100,77,76,59,10,18,50,4,9,45,41,11,79,85,76,56,80,22,9,22,21,12,29,72,45,29,91,31,55,62,25,41,27,81,41,49,18,99,85,34,42,74,31,86,25,36,38,40,60,70,56,4,9,5017
user_4754,16,39,13,36,99,63,82,60,54,50,42,34,2,98,34,63,73,30,31,52,17,66,18,88,96,86,58,19,37,1,63,11,11,54,80,54,95,85,70,60,62,34,26,12,35,38,54,57,35,26,29,76,79,13,76,34,56,48,62,80,38,29,37,76,52,88,36,46,47,4,80,66,87,27,94,5017
user_71359,39,91,47,3,25,73,58,30,78,32,55,7,96,53,31,38,59,69,15,49,44,11,25,86,30,84,87,87,36,96,81,5,26,38,66,39,39,62,46,88,95,28,12,25,61,36,16,38,11,57,91,18,7,44,55,25,60,5,59,85,42,3,78,19,91,34,69,17,52,73,80,40,85,79,95,5018
user_91231,41,8,42,21,8,64,93,53,24,3,51,53,5,68,16,30,65,26,47,80,11,44,29,8,94,74,95,23,29,51,23,52,69,72,30,19,20,68,13,52,33,97,11,83,64,28,9,75,77,51,22,92,56,80,39,58,41,15,62,58,39,97,76,75,21,21,57,59,76,63,68,91,9,73,95,5018
user_61518,89,39,55,37,9,79,72,29,99,43,63,54,82,76,9,60,71,64,95,25,82,31,93,15,78,55,93,47,91,6,86,2,33,87,53,12,26,64,63,88,61,35,30,76,61,41,45,4,68,11,65,40,9,88,19,6,21,3,48,23,43,11,85,9,98,2,31,91,99,67,49,42,63,14,74,5018
user_68844,86,78,58,30,21,75,23,2,92,15,11,2,21,22,8,64,5,35,85,7,86,61,9,34,60,52,5,30,37,87,50,10,38,48,43,44,93,50,30,32,72,60,60,53,15,71,9,70,19,43,69,49,21,3,42,46,63,57,39,41,90,33,62,6,85,6,97,47,41,99,16,56,35,63,63,5018
user_19569,62,49,4,96,95,73,4,76,30,16,99,98,32,12,53,69,21,52,94,100,88,25,82,65,25,7,76,16,17,80,34,43,89,36,61,11,51,6,50,70,72,56,68,17,4,85,36,66,75,66,56,64,62,92,33,12,75,94,81,39,42,1,45,70,54,45,8,66,95,66,12,89,74,53,93,5019
user_12854,4,98,33,33,43,54,7,41,26,18,57,58,38,86,56,26,82,57,58,60,85,18,65,88,38,40,82,94,41,65,45,16,18,4,88,2,35,37,54,97,57,46,22,61,39,19,100,6,12,100,55,43,60,52,59,92,87,87,30,82,76,76,100,10,80,19,92,90,76,11,19,34,87,46,24,5019
user_99590,78,75,44,76,26,65,88,62,63,36,90,94,87,73,32,61,66,76,62,42,49,37,94,43,51,75,47,78,40,98,65,2,12,24,24,82,22,37,10,95,30,46,88,63,42,17,84,75,24,11,51,7,2,2,67,43,18,83,91,59,14,85,53,39,41,23,69,91,51,13,4,17,72,89,96,5019
user_83561,77,43,95,44,45,37,98,8,52,91,2,35,76,19,13,58,23,92,35,18,61,61,82,1,25,51,79,46,21,58,49,30,80,63,83,6,74,63,52,66,96,19,50,22,16,76,44,70,70,83,17,63,91,77,18,8,73,13,24,25,82,3,66,83,82,76,39,84,27,69,44,65,43,61,43,5019
user_71382,8,11,83,71,85,51,34,17,14,78,96,45,57,34,39,98,24,95,90,61,84,24,29,74,33,48,11,9,52,90,92,25,8,83,58,49,2,60,50,73,44,64,76,66,88,72,51,47,29,55,75,64,75,66,73,96,9,71,5,74,20,41,40,27,67,75,44,79,82,74,57,30,62,94,71,5020
user_71516,81,89,32,17,32,59,26,5,41,70,86,21,73,25,82,72,20,92,50,95,52,99,27,80,99,7,69,10,55,99,77,96,50,72,59,75,49,46,54,13,67,10,47,43,80,80,90,46,26,20,91,53,23,37,45,92,49,13,42,67,29,61,6,55,66,72,62,25,89,55,16,17,6,98,60,5020
user_71637,68,3,75,24,78,30,10,4,69,55,33,10,45,25,3,72,12,34,3,89,38,90,21,33,67,11,82,15,62,1,15,73,78,80,36,25,33,53,64,96,98,19,78,44,76,4,84,61,99,52,48,23,57,71,12,72,9,87,23,5,57,93,49,5,21,25,96,6,75,6,94,40,92,41,89,5020
user_74555,29,81,41,3,7,60,80,66,13,71,26,68,4,29,83,94,6,21,50,45,30,93,37,57,95,69,30,20,73,45,24,4,40,30,33,78,61,32,63,36,14,52,14,16,14,24,48,24,14,56,51,57,42,98,81,83,83,31,26,94,69,23,75,29,48,82,40,56,60,18,40,99,48,3,31,5020
user_73134,52,95,75,22,88,90,34,23,66,34,55,61,93,29,91,24,2,40,14,60,51,25,56,87,78,74,12,91,12,11,64,43,43,49,82,47,14,21,17,38,2,69,34,45,58,15,57,3,94,9,46,37,36,73,46,95,74,61,31,57,97,55,72,60,59,94,14,13,16,82,82,18,70,89,10,5021
user_80415,70,100,28,50,97,23,10,100,84,77,88,66,53,86,78,83,66,28,51,89,11,86,29,98,69,40,33,84,68,44,79,97,19,10,1,94,99,3,81,74,46,54,41,30,20,8,25,83,53,55,100,23,27,20,46,8,70,2,98,5,46,77,20,74,82,89,57,72,65,100,29,59,10,15,48,5021
user_47597,1,94,30,97,79,46,90,78,74,76,33,81,69,35,90,30,2,78,4,11,55,95,58,44,22,22,15,70,46,53,40,28,31,43,38,6,37,28,83,46,98,62,12,9,22,37,4,5,74,40,28,87,17,99,95,22,65,57,74,93,25,43,76,22,74,34,46,97,68,8,98,48,72,19,96,5021
