user_id,item_21506,item_95975,item_17128,item_15353,item_98107,item_24927,item_10880,item_86912,item_32029,item_42620,item_92785,item_47631,item_87991,item_49406,item_22311,item_25058,item_57669,item_54615,item_72164,item_91571,item_85315,item_18358,item_83047,item_63796,item_91163,item_64794,item_89381,item_42619,item_31406,item_89128,item_46435,item_38612,item_6106,item_46512,item_25043,item_34723,item_29785,item_64950,item_99402,item_49898,item_13441,item_80477,item_81854,item_65030,item_94563,item_85860,item_58878,item_59553,item_5602,item_11579,groupId
user_20204,84,5,84,54,39,53,82,5,22,16,99,77,46,96,89,83,34,64,79,18,82,5,46,2,58,86,25,15,94,53,80,64,100,97,40,30,7,45,56,44,45,33,61,29,61,19,99,27,62,47,4006
user_68139,29,7,77,70,47,25,28,15,73,3,15,19,69,62,13,49,77,92,43,38,96,17,80,34,3,9,2,85,48,65,98,43,99,55,71,52,90,73,54,14,36,11,80,19,98,28,69,94,41,7,4006
user_5190,46,8,48,85,25,56,38,82,64,49,68,59,73,40,5,16,63,78,99,52,2,82,30,21,16,15,69,7,33,59,12,9,70,30,57,50,24,32,47,53,73,73,47,83,39,45,47,39,6,72,4006
user_53400,80,20,7,40,94,19,23,39,51,83,55,86,34,91,3,15,75,85,74,46,71,78,47,46,5,4,8,15,57,42,15,25,68,45,57,65,7,92,56,32,67,92,62,29,11,40,99,33,87,78,4007
user_49349,75,64,39,2,31,29,82,11,13,69,42,57,47,82,42,70,85,90,60,82,1,57,55,85,70,50,73,37,45,15,72,21,89,74,29,14,94,42,30,53,82,44,76,94,82,72,14,43,60,67,4007
user_20174,50,17,4,94,42,30,88,72,26,59,69,66,2,28,24,18,59,6,68,85,21,77,43,37,1,100,8,13,23,6,89,49,69,64,78,18,54,16,57,62,31,54,40,63,96,22,76,64,28,16,4007
user_63957,88,54,29,69,15,31,76,22,92,34,100,29,37,26,2,38,55,86,64,85,16,82,5,18,100,82,21,55,83,43,73,10,86,76,83,14,89,2,20,16,75,94,18,52,29,74,82,79,81,59,4007
user_72792,16,77,89,14,90,80,59,29,29,34,23,57,100,13,97,75,87,37,27,72,58,85,6,81,18,21,51,66,86,18,68,51,3,38,2,3,43,85,90,91,57,80,14,21,74,67,93,76,38,83,4008
user_16675,60,92,6,92,70,95,24,3,31,7,87,25,39,72,92,31,89,9,50,78,75,24,54,62,9,18,63,47,60,52,63,16,4,40,56,71,37,49,93,42,29,7,43,89,95,35,69,50,34,23,4008
user_12853,90,27,30,80,46,52,12,30,75,63,28,97,38,20,73,65,70,31,73,57,83,2,41,89,18,5,77,75,26,71,28,4,78,73,26,17,11,72,82,16,11,60,94,96,83,32,5,79,59,41,4008
user_18939,37,71,62,56,84,28,11,71,81,29,75,83,28,74,71,19,70,43,18,68,5,17,53,79,47,13,44,9,28,87,63,20,52,17,64,100,96,86,40,63,20,19,92,91,35,16,71,38,55,26,4008
user_62455,20,8,28,61,18,7,78,13,34,53,77,49,32,78,36,66,79,8,100,83,91,1,91,80,35,17,86,30,41,17,17,31,51,11,29,51,63,76,77,100,55,45,88,57,64,50,22,96,51,92,4009
user_23016,88,62,91,42,33,49,69,78,44,51,25,32,46,9,38,69,16,30,58,29,96,21,91,58,71,86,2,35,73,75,2,64,71,44,24,3,88,100,78,55,7,42,46,33,79,58,76,42,23,47,4009
user_14619,69,50,92,73,4,52,58,3,3,44,49,24,52,47,40,48,67,3,33,80,65,74,86,48,29,85,6,9,96,95,64,17,28,84,14,38,43,80,41,36,63,82,35,54,96,2,54,38,68,23,4009
user_83034,65,77,58,23,24,28,30,64,36,47,6,18,34,82,91,4,92,64,76,37,8,25,30,75,55,54,86,89,19,66,55,29,27,23,30,80,61,58,39,33,85,67,98,57,14,79,39,30,74,85,4009
user_61695,29,86,33,25,77,47,82,98,5,41,54,6,3,41,62,17,37,99,76,66,62,34,36,89,51,85,60,62,59,97,8,64,56,10,89,44,99,83,14,70,57,7,4,82,98,41,36,71,10,35,4010
user_92631,57,60,91,20,4,2,33,66,51,3,32,62,45,20,92,40,17,75,64,19,84,57,89,74,10,3,53,91,24,29,79,91,87,59,33,8,80,86,18,67,34,54,50,84,53,38,93,70,16,25,4010
user_45049,25,68,69,53,69,57,61,85,65,5,50,28,59,64,32,50,72,82,9,72,24,59,48,37,15,26,15,30,51,64,49,20,40,33,53,4,92,60,39,45,8,28,21,66,45,53,68,7,1,77,4010
user_69151,67,95,79,73,7,76,55,35,10,1,32,56,38,73,95,78,64,28,20,37,100,2,47,76,57,89,10,36,10,27,85,86,3,48,12,96,46,38,50,64,36,63,70,25,17,53,11,16,99,3,4010
user_31449,45,69,10,37,46,45,58,60,6,59,3,65,27,29,30,17,2,15,38,9,64,82,33,89,16,72,17,63,19,17,75,39,71,34,38,40,23,47,87,23,76,15,40,28,29,70,90,5,63,89,4011
user_23950,24,82,91,12,52,52,30,82,52,49,90,40,87,9,73,38,51,33,100,84,57,60,26,59,36,89,100,86,2,79,10,24,88,85,71,79,72,70,68,27,86,27,74,81,93,65,93,82,60,26,4011
user_34133,20,7,74,80,89,79,71,29,75,7,64,72,91,100,13,71,86,10,83,45,44,1,75,73,61,86,50,1,86,26,71,63,51,68,5,23,99,6,6,74,85,71,76,17,5,47,19,71,20,56,4011
user_3059,2,65,51,2,89,64,94,44,34,65,2,88,4,92,85,9,69,86,67,45,25,47,93,17,72,48,2,34,3,6,97,64,82,29,56,16,35,29,58,19,62,53,41,46,97,89,23,42,87,73,4011
user_47135,79,23,25,53,100,89,87,26,49,74,24,1,15,80,90,29,42,71,42,89,55,10,85,1,85,71,39,33,15,41,9,97,16,76,73,85,2,87,29,37,41,74,60,98,27,89,78,42,88,13,4012
user_42469,94,80,12,48,90,36,7,32,71,79,77,82,22,10,46,13,20,76,27,49,43,3,96,84,81,74,28,85,5,55,68,87,64,96,59,90,83,3,65,32,29,8,61,39,49,13,86,85,29,85,4012
user_15953,30,57,84,40,48,94,49,36,70,45,36,39,49,51,64,90,40,82,18,75,44,61,53,81,68,29,59,88,64,31,19,14,79,46,16,55,2,94,53,29,76,95,14,7,89,54,29,14,24,2,4012
user_43907,42,75,73,30,16,80,77,65,7,79,73,87,16,73,32,52,70,76,99,34,13,70,73,69,9,74,87,26,72,32,29,4,53,12,43,70,22,64,91,81,62,80,28,26,12,59,32,42,11,23,4012
user_33499,77,49,43,34,66,13,16,82,5,63,3,46,68,73,38,82,85,4,9,46,4,66,29,83,50,68,37,60,58,62,83,48,49,60,43,3,72,56,47,89,44,91,23,23,67,8,39,47,42,60,4013
user_87019,10,62,77,69,46,89,3,58,66,61,72,62,81,78,4,30,89,73,18,19,5,81,37,43,64,88,46,11,77,69,90,15,79,69,8,31,19,30,79,6,26,42,83,60,71,79,89,57,60,67,4013
user_80244,27,61,16,35,49,5,70,41,72,40,69,75,96,69,63,23,84,13,69,22,29,26,44,63,74,55,22,85,19,33,35,16,3,11,84,24,22,23,79,2,57,67,28,86,26,33,13,62,15,43,4013
user_11772,94,9,95,5,33,96,55,93,94,21,16,57,34,37,67,93,59,38,26,72,80,48,4,95,98,75,91,4,57,91,66,53,74,57,59,57,52,60,42,16,53,84,46,41,72,84,47,37,68,58,4013
user_25521,92,62,21,91,80,85,5,54,74,90,54,82,96,74,53,44,62,47,60,61,92,29,67,11,88,21,48,21,95,73,1,35,69,29,64,61,94,17,63,39,37,8,77,70,49,80,30,37,61,99,4014
user_84601,21,28,16,73,39,39,46,38,57,19,93,52,11,28,50,69,8,20,100,48,70,89,72,9,58,74,75,51,22,28,32,28,47,69,11,14,27,56,63,85,56,52,32,44,6,72,58,17,25,48,4014
user_25318,12,11,10,5,57,61,47,86,28,86,10,76,77,75,96,35,63,79,94,50,79,11,59,13,53,23,33,20,10,35,76,24,75,41,77,79,92,87,99,44,24,49,23,19,10,71,43,24,15,17,4014
user_24472,57,32,40,3,40,3,91,15,30,82,18,96,15,67,48,98,48,100,99,61,56,15,37,86,13,42,22,67,38,100,83,17,15,54,56,4,13,66,44,8,7,94,79,81,100,51,26,50,38,20,4014
user_91445,42,52,74,9,64,36,15,67,59,65,36,56,20,83,95,100,92,21,84,68,17,70,41,24,51,70,95,16,81,71,43,79,87,38,97,31,74,59,73,32,96,9,2,34,94,57,50,24,50,28,4015
user_68663,15,9,48,47,74,53,62,24,63,47,14,46,83,57,47,96,44,96,99,41,75,27,17,97,37,43,38,41,28,65,36,19,3,70,7,67,30,89,60,38,92,57,100,80,23,98,37,30,2,98,4015
user_84312,34,2,90,63,39,99,13,60,15,49,77,59,90,6,33,25,78,36,52,71,35,60,88,24,15,48,95,81,81,80,20,60,90,35,41,9,18,73,12,6,65,63,71,35,33,28,93,92,80,98,4015
user_28744,54,35,39,99,93,47,77,98,41,54,37,34,17,2,83,27,5,86,80,37,86,66,83,93,46,93,57,87,33,59,57,41,57,24,24,92,51,32,56,20,77,34,20,7,40,80,35,92,41,24,4015
user_7615,16,82,85,87,62,61,8,39,48,19,38,45,41,1,87,28,59,18,77,15,50,13,57,51,89,6,57,13,99,86,79,6,89,57,28,48,70,81,13,70,49,83,45,87,8,22,25,54,50,23,4016
user_23805,74,26,20,77,40,26,79,55,46,9,88,4,48,49,34,32,17,23,21,36,81,58,50,14,10,37,1,15,95,33,33,94,40,47,74,62,94,22,1,26,34,7,54,24,8,31,85,79,68,64,4016
user_73773,47,92,26,60,28,72,31,3,78,72,62,65,8,90,13,97,51,70,87,54,33,2,18,7,93,57,67,47,1,99,34,42,88,20,24,88,41,32,52,90,36,28,26,68,63,57,58,30,51,52,4016
user_86113,82,31,47,71,3,38,35,94,74,88,48,48,6,95,36,69,37,43,8,27,14,42,72,60,47,100,91,17,2,5,77,1,29,83,49,78,12,26,98,25,22,30,76,30,24,21,17,98,17,40,4016
user_38409,91,86,54,69,37,71,6,51,70,86,78,77,29,18,36,85,87,53,35,77,28,18,62,45,86,44,12,91,82,50,80,85,6,12,13,96,17,40,23,70,66,84,55,52,77,11,32,1,28,20,4017
user_21773,97,94,69,6,63,89,22,16,28,42,93,1,83,57,47,72,41,63,58,87,52,59,48,39,80,68,2,37,1,91,22,33,84,48,16,85,58,32,74,43,68,42,44,28,13,80,98,50,91,91,4017
user_26595,7,82,48,2,57,97,15,17,69,60,57,38,32,58,1,39,53,70,96,98,32,89,86,45,38,40,92,93,23,25,81,6,15,89,31,52,7,48,97,7,100,98,52,74,6,29,38,63,71,93,4017
user_14383,32,99,73,50,5,37,31,13,94,11,89,75,70,50,90,3,21,3,1,5,36,41,51,30,77,81,74,34,51,7,7,6,78,14,18,81,90,10,68,2,18,18,27,82,18,26,95,61,20,37,4017
user_2894,28,18,85,28,2,70,19,12,53,98,65,88,6,21,56,74,44,65,72,41,16,77,97,50,3,53,17,43,64,59,33,10,13,1,85,98,93,92,84,58,53,93,86,1,86,88,51,35,25,57,4018
user_15110,84,60,81,29,82,39,45,28,80,51,58,40,57,66,46,71,86,17,3,68,8,83,75,3,22,69,63,64,51,31,93,27,41,95,20,42,76,58,63,45,14,36,5,37,42,34,84,81,14,25,4018
user_87914,90,6,76,77,74,41,36,57,11,84,74,28,80,71,5,66,26,30,75,76,47,92,27,29,75,38,95,49,55,4,14,58,59,78,54,85,67,32,23,9,56,65,85,90,2,59,82,13,6,76,4018
user_50191,42,78,87,47,52,39,60,40,58,12,93,99,95,69,98,13,68,97,36,59,97,87,23,6,52,9,17,6,56,48,5,36,6,59,56,86,48,11,29,62,24,66,69,75,27,82,54,23,24,3,4018
user_87810,96,46,61,10,71,43,67,42,5,23,99,33,57,77,57,99,10,15,65,53,35,5,51,53,97,69,37,97,6,8,42,90,38,99,84,22,84,8,58,20,17,64,34,99,13,46,58,36,71,52,4019
user_25759,71,26,15,44,61,13,1,97,3,80,73,39,33,86,21,51,86,20,40,23,31,78,68,45,85,80,78,80,57,30,59,22,41,84,95,51,40,40,45,1,93,87,53,30,26,10,65,27,53,1,4019
user_84223,16,91,56,55,2,51,30,32,92,69,54,15,97,10,64,18,5,16,66,19,46,43,33,37,98,95,63,97,55,44,20,13,25,12,82,41,91,53,96,16,47,7,41,56,72,6,52,59,76,24,4019
user_67785,11,53,37,67,25,93,75,10,27,22,34,19,4,66,96,52,70,19,60,35,83,55,69,100,88,88,42,49,57,28,62,71,84,65,48,81,73,7,68,95,38,83,18,59,50,55,91,54,66,22,4019
user_83183,31,57,74,28,71,77,68,44,34,68,58,2,10,90,87,7,92,84,75,58,53,28,2,47,88,9,83,98,91,81,59,9,25,23,13,38,67,22,74,23,32,58,66,88,37,46,2,30,64,68,4020
user_47434,17,20,29,5,19,12,28,73,2,99,42,35,86,4,78,12,74,89,59,57,41,24,21,63,23,18,5,81,91,16,90,74,52,93,3,50,82,48,68,93,39,56,74,58,33,23,40,54,50,49,4020
user_43158,35,50,15,77,33,98,26,29,78,65,1,81,42,15,62,14,66,74,63,84,99,61,29,90,34,1,26,40,10,2,35,72,1,24,25,17,24,86,84,72,48,47,53,70,12,10,86,66,84,60,4020
user_87964,11,92,69,9,79,13,86,31,54,75,49,87,20,56,59,92,69,65,87,36,27,57,57,60,42,89,53,62,11,93,63,54,97,16,40,85,33,64,98,74,52,5,69,68,81,61,47,84,62,57,4020
user_69386,65,60,77,99,23,42,12,62,18,71,53,58,56,12,65,40,62,91,49,77,99,48,47,76,24,47,79,42,57,42,92,4,58,92,48,31,81,96,35,92,8,68,30,99,6,66,19,80,6,48,4021
user_90188,1,44,99,22,35,2,71,71,97,77,59,82,9,18,61,35,41,76,44,47,81,37,93,26,81,83,8,91,85,55,5,17,26,53,99,89,32,89,6,42,3,33,96,30,66,2,44,3,52,46,4021
user_83439,39,44,27,63,5,28,57,57,99,7,25,7,98,91,81,38,83,2,44,46,65,99,17,81,77,37,22,21,84,94,93,33,16,20,35,40,77,82,98,70,29,46,62,21,40,60,97,76,74,22,4021
user_53126,28,72,62,94,9,16,77,5,97,28,42,20,34,15,80,55,86,24,12,43,78,28,54,47,77,32,85,2,97,45,84,70,51,81,87,66,76,33,27,81,12,24,46,51,81,92,32,78,47,31,4021
user_60270,71,54,14,57,59,95,77,97,73,27,83,35,87,80,47,4,53,71,63,99,70,17,21,36,8,75,74,93,69,9,17,89,66,10,76,3,26,84,1,46,90,56,1,67,98,17,96,1,24,28,4022
user_73330,41,9,21,26,82,52,32,13,69,88,71,66,37,12,60,90,14,70,60,83,1,63,90,18,82,2,74,38,99,58,68,100,76,84,3,57,98,86,92,66,80,3,72,15,69,30,29,65,6,37,4022
user_7660,65,29,100,35,67,26,35,83,34,2,42,68,55,2,28,90,1,87,90,96,22,39,9,67,15,86,10,48,25,45,66,49,15,77,12,8,17,69,50,7,17,97,37,64,33,70,53,79,53,25,4022
user_74243,52,79,5,98,24,99,45,35,37,64,40,80,6,90,26,78,79,36,42,44,98,100,61,13,84,53,7,57,15,2,86,20,96,83,24,81,4,7,45,43,8,9,5,82,67,59,56,14,24,52,4022
user_6081,32,49,88,57,39,49,98,56,76,13,88,16,9,83,23,30,81,71,38,53,62,42,31,3,95,39,1,78,94,84,22,85,5,16,28,19,67,84,86,4,83,57,37,40,100,37,11,25,56,29,4023
user_29453,56,96,68,1,61,28,59,78,91,91,62,65,32,100,83,64,86,68,89,31,85,14,23,9,51,42,33,33,8,41,7,21,95,35,81,66,71,13,6,97,79,1,28,39,17,98,44,35,82,13,4023
user_26612,36,78,62,95,50,41,76,55,10,7,3,30,1,98,90,12,25,4,54,18,27,55,42,4,62,76,67,4,6,49,46,95,40,35,77,70,70,11,31,80,72,47,76,6,55,30,33,81,99,12,4023
user_18354,71,2,96,17,10,26,85,47,6,95,89,84,38,35,88,72,86,67,49,9,66,35,98,32,13,44,63,72,92,81,56,66,68,4,10,85,32,37,7,65,12,90,7,97,50,84,25,90,15,14,4023
user_84041,34,12,85,58,46,73,73,31,90,76,33,6,96,25,57,83,76,75,50,93,55,45,85,86,24,66,87,64,81,11,3,13,19,19,73,72,66,7,6,6,15,63,47,4,73,53,82,25,14,56,4024
user_71556,92,60,87,92,55,49,73,71,4,36,96,90,26,25,34,27,60,33,87,71,91,56,76,3,44,26,84,41,44,96,18,98,38,56,8,28,1,24,65,81,6,68,99,70,38,52,2,59,41,88,4024
user_53843,100,45,61,53,34,1,89,52,5,18,86,46,65,10,34,22,23,69,89,19,73,51,35,37,29,64,33,71,77,81,82,31,100,67,77,89,57,11,51,46,73,93,11,32,85,91,44,73,10,14,4024
user_30668,32,75,19,89,89,21,38,45,79,4,70,46,46,42,37,37,77,86,95,54,44,47,13,83,6,30,66,14,4,31,15,41,60,92,25,35,1,49,12,54,63,95,29,30,2,78,1,97,65,79,4024
user_79337,44,38,83,80,48,22,98,31,66,20,98,4,87,53,32,98,76,83,86,68,68,13,64,73,30,75,45,11,81,34,4,31,80,10,65,42,87,32,85,83,70,77,62,38,51,99,55,29,17,21,4025
user_59050,61,38,23,78,37,94,37,18,83,74,12,55,84,47,33,11,43,42,2,26,35,58,87,100,39,31,28,5,70,9,55,8,79,14,22,61,48,96,16,62,68,73,47,78,69,31,54,95,98,100,4025
user_79324,76,59,10,18,50,4,9,45,41,11,79,85,76,56,80,22,9,22,21,12,29,72,45,29,91,31,55,62,25,41,27,81,41,49,18,99,85,34,42,74,31,86,25,36,38,40,60,70,56,4,4025
user_9337,4,16,39,13,36,99,63,82,60,54,50,42,34,2,98,34,63,73,30,31,52,17,66,18,88,96,86,58,19,37,1,63,11,11,54,80,54,95,85,70,60,62,34,26,12,35,38,54,57,35,4025
user_41421,35,50,67,17,68,69,12,33,94,86,32,17,93,41,43,2,78,32,82,57,83,17,44,95,19,39,71,65,67,26,2,70,80,24,19,94,18,71,98,79,64,97,74,14,2,23,26,4,37,80,4026
user_25279,69,39,91,47,3,25,73,58,30,78,32,55,7,96,53,31,38,59,69,15,49,44,11,25,86,30,84,87,87,36,96,81,5,26,38,66,39,39,62,46,88,95,28,12,25,61,36,16,38,11,4026
user_59088,91,18,7,44,55,25,60,5,59,85,42,3,78,19,91,34,69,17,52,73,80,40,85,79,95,89,41,8,42,21,8,64,93,53,24,3,51,53,5,68,16,30,65,26,47,80,11,44,29,8,4026
user_96960,74,95,23,29,51,23,52,69,72,30,19,20,68,13,52,33,97,11,83,64,28,9,75,77,51,22,92,56,80,39,58,41,15,62,58,39,97,76,75,21,21,57,59,76,63,68,91,9,73,95,4026
user_10032,88,19,6,21,3,48,23,43,11,85,9,98,2,31,91,99,67,49,42,63,14,74,67,86,78,58,30,21,75,23,2,92,15,11,2,21,22,8,64,5,35,85,7,86,61,9,34,60,52,5,4027
user_31675,37,87,50,10,38,48,43,44,93,50,30,32,72,60,60,53,15,71,9,70,19,43,69,49,21,3,42,46,63,57,39,41,90,33,62,6,85,6,97,47,41,99,16,56,35,63,63,11,74,19,4027
user_20185,18,61,13,39,45,56,28,4,63,25,13,93,9,4,38,50,81,51,91,37,10,67,9,67,3,50,71,19,72,67,18,14,91,71,14,31,60,63,87,55,79,47,23,75,47,22,56,92,100,9,4027
user_31021,49,57,28,92,20,25,74,78,97,31,27,48,4,6,30,64,14,28,55,58,96,82,93,78,7,19,62,49,4,96,95,73,4,76,30,16,99,98,32,12,53,69,21,52,94,100,88,25,82,65,4027
user_4234,98,33,33,43,54,7,41,26,18,57,58,38,86,56,26,82,57,58,60,85,18,65,88,38,40,82,94,41,65,45,16,18,4,88,2,35,37,54,97,57,46,22,61,39,19,100,6,12,100,55,4028
user_44400,60,52,59,92,87,87,30,82,76,76,100,10,80,19,92,90,76,11,19,34,87,46,24,97,78,75,44,76,26,65,88,62,63,36,90,94,87,73,32,61,66,76,62,42,49,37,94,43,51,75,4028
user_48972,78,40,98,65,2,12,24,24,82,22,37,10,95,30,46,88,63,42,17,84,75,24,11,51,7,2,2,67,43,18,83,91,59,14,85,53,39,41,23,69,91,51,13,4,17,72,89,96,81,77,4028
user_44275,95,44,45,37,98,8,52,91,2,35,76,19,13,58,23,92,35,18,61,61,82,1,25,51,79,46,21,58,49,30,80,63,83,6,74,63,52,66,96,19,50,22,16,76,44,70,70,83,17,63,4028
user_72650,32,7,46,40,13,12,11,48,14,21,3,21,49,40,58,41,26,34,18,54,9,5,91,35,86,100,48,82,9,62,27,12,53,53,76,82,33,99,74,70,84,100,27,91,83,52,84,19,14,75,4029
user_64887,69,8,11,83,71,85,51,34,17,14,78,96,45,57,34,39,98,24,95,90,61,84,24,29,74,33,48,11,9,52,90,92,25,8,83,58,49,2,60,50,73,44,64,76,66,88,72,51,47,29,4029
user_56467,75,64,75,66,73,96,9,71,5,74,20,41,40,27,67,75,44,79,82,74,57,30,62,94,71,69,81,89,32,17,32,59,26,5,41,70,86,21,73,25,82,72,20,92,50,95,52,99,27,80,4029
user_7648,69,10,55,99,77,96,50,72,59,75,49,46,54,13,67,10,47,43,80,80,90,46,26,20,91,53,23,37,45,92,49,13,42,67,29,61,6,55,66,72,62,25,89,55,16,17,6,98,60,69,4029
user_72740,12,72,9,87,23,5,57,93,49,5,21,25,96,6,75,6,94,40,92,41,89,72,29,81,41,3,7,60,80,66,13,71,26,68,4,29,83,94,6,21,50,45,30,93,37,57,95,69,30,20,4030
user_74939,45,24,4,40,30,33,78,61,32,63,36,14,52,14,16,14,24,48,24,14,56,51,57,42,98,81,83,83,31,26,94,69,23,75,29,48,82,40,56,60,18,40,99,48,3,31,87,5,26,56,4030
user_43160,38,61,56,47,47,20,53,4,94,66,74,76,56,35,26,2,25,95,27,69,7,84,65,29,18,41,85,77,32,93,41,44,90,12,54,70,94,63,43,44,58,55,98,50,39,4,88,6,53,31,4030
user_53951,82,54,100,66,39,91,35,26,91,36,44,97,86,44,61,37,29,34,98,92,22,71,73,17,71,52,95,75,22,88,90,34,23,66,34,55,61,93,29,91,24,2,40,14,60,51,25,56,87,78,4030
user_51787,97,23,10,100,84,77,88,66,53,86,78,83,66,28,51,89,11,86,29,98,69,40,33,84,68,44,79,97,19,10,1,94,99,3,81,74,46,54,41,30,20,8,25,83,53,55,100,23,27,20,4031
user_47716,8,70,2,98,5,46,77,20,74,82,89,57,72,65,100,29,59,10,15,48,46,1,94,30,97,79,46,90,78,74,76,33,81,69,35,90,30,2,78,4,11,55,95,58,44,22,22,15,70,46,4031
user_54285,40,28,31,43,38,6,37,28,83,46,98,62,12,9,22,37,4,5,74,40,28,87,17,99,95,22,65,57,74,93,25,43,76,22,74,34,46,97,68,8,98,48,72,19,96,11,32,12,32,77,4031
user_46751,8,94,87,63,3,46,43,72,83,5,85,72,27,65,89,44,12,54,91,71,67,6,8,39,58,39,43,87,62,44,64,66,30,46,54,28,29,97,11,30,25,69,38,51,55,4,40,70,16,48,4031
