user_id,item_30770,item_49901,item_92557,item_89262,item_49018,item_27577,item_10498,item_66905,item_91589,item_45373,item_73102,item_90995,item_70099,item_34040,item_75753,item_91024,item_84338,item_82793,item_92219,item_50317,item_9645,item_55428,item_96342,item_53352,item_94932,groupId
user_98386,76,82,55,94,80,71,68,76,84,10,23,40,5,69,13,17,22,85,65,48,95,49,30,18,78,6
user_46285,68,17,83,74,25,11,84,12,59,28,44,45,70,56,23,52,64,23,42,29,48,83,38,53,24,6
user_18496,32,39,30,83,97,36,84,67,79,90,75,84,16,22,10,14,46,78,17,89,14,61,51,66,27,7
user_74516,99,69,11,100,94,27,69,40,65,40,59,51,9,15,96,33,80,70,99,59,48,36,22,21,12,7
user_47247,86,43,100,47,35,15,74,30,54,66,76,1,19,76,47,16,20,58,14,45,57,26,81,59,32,7
user_21824,45,72,54,79,19,18,46,67,11,34,37,1,34,62,32,59,79,25,88,37,2,33,6,49,24,7
user_91050,30,10,35,13,98,76,56,15,83,15,41,28,42,32,94,99,86,52,38,26,42,2,3,71,97,8
user_83006,38,61,100,47,21,16,54,50,75,79,9,98,63,22,97,77,47,36,34,9,9,76,41,59,2,8
user_11450,52,67,57,58,99,53,4,40,78,34,2,76,23,7,16,43,43,66,6,26,88,80,38,35,36,8
user_91075,8,7,10,92,38,18,72,6,66,38,55,55,41,43,64,73,49,80,78,71,30,84,45,67,98,8
user_44454,63,6,1,75,89,74,55,63,98,6,45,71,63,88,90,90,71,17,34,17,55,31,83,6,69,9
user_79409,95,3,19,38,36,32,87,90,72,17,82,9,53,28,56,3,62,75,6,24,74,34,2,30,44,9
user_60535,53,32,38,25,71,100,78,75,80,23,25,34,16,87,77,89,42,50,64,49,23,75,22,59,65,9
user_63667,21,22,92,12,5,11,94,25,67,68,13,9,48,97,98,44,90,79,57,34,84,97,75,86,14,9
user_21446,40,69,92,75,60,7,42,33,18,79,36,21,29,69,6,13,93,74,46,62,65,17,91,41,81,10
user_3519,63,36,14,34,55,33,97,84,6,63,70,75,84,83,56,63,66,7,28,62,52,71,1,79,99,10
user_11999,19,77,47,12,97,93,57,48,13,42,79,27,49,12,91,84,51,17,44,60,53,43,54,76,91,10
user_20301,61,12,4,45,7,36,45,26,86,42,57,82,25,5,78,100,71,50,72,38,38,86,77,4,53,10
user_65651,80,30,3,63,12,51,48,80,81,19,84,5,84,54,39,53,82,5,22,16,99,77,46,96,89,11
user_85333,34,64,79,18,82,5,46,2,58,86,25,15,94,53,80,64,100,97,40,30,7,45,56,44,45,11
user_33815,61,29,61,19,99,27,62,47,66,29,7,77,70,47,25,28,15,73,3,15,19,69,62,13,49,11
user_78978,92,43,38,96,17,80,34,3,9,2,85,48,65,98,43,99,55,71,52,90,73,54,14,36,11,11
user_2463,82,30,21,16,15,69,7,33,59,12,9,70,30,57,50,24,32,47,53,73,73,47,83,39,45,12
user_48916,39,6,72,81,16,65,32,69,39,34,33,35,97,70,87,74,48,22,32,98,11,48,31,94,46,12
user_40412,71,40,24,72,28,82,32,27,51,92,11,89,40,76,54,12,78,83,95,96,72,16,26,53,1,12
user_43010,32,28,90,73,21,52,80,20,7,40,94,19,23,39,51,83,55,86,34,91,3,15,75,85,74,12
user_41922,99,33,87,78,48,75,64,39,2,31,29,82,11,13,69,42,57,47,82,42,70,85,90,60,82,13
user_1688,57,55,85,70,50,73,37,45,15,72,21,89,74,29,14,94,42,30,53,82,44,76,94,82,72,13
user_14405,43,60,67,28,68,19,50,17,4,94,42,30,88,72,26,59,69,66,2,28,24,18,59,6,68,13
user_87432,21,77,43,37,1,100,8,13,23,6,89,49,69,64,78,18,54,16,57,62,31,54,40,63,96,13
user_5899,18,100,82,21,55,83,43,73,10,86,76,83,14,89,2,20,16,75,94,18,52,29,74,82,79,14
user_15835,50,96,99,10,14,52,9,36,94,76,71,11,72,46,36,4,70,40,68,1,10,74,52,50,99,14
user_67368,82,5,37,31,9,68,18,69,37,59,35,52,72,45,80,46,1,77,42,18,36,50,16,47,72,14
user_68075,40,71,16,77,89,14,90,80,59,29,29,34,23,57,100,13,97,75,87,37,27,72,58,85,6,14
user_61876,92,6,92,70,95,24,3,31,7,87,25,39,72,92,31,89,9,50,78,75,24,54,62,9,18,15
user_65216,47,60,52,63,16,4,40,56,71,37,49,93,42,29,7,43,89,95,35,69,50,34,23,12,90,15
user_28455,30,80,46,52,12,30,75,63,28,97,38,20,73,65,70,31,73,57,83,2,41,89,18,5,77,15
user_77389,26,71,28,4,78,73,26,17,11,72,82,16,11,60,94,96,83,32,5,79,59,41,43,18,37,15
user_28853,87,63,20,52,17,64,100,96,86,40,63,20,19,92,91,35,16,71,38,55,26,93,58,75,72,16
user_47166,71,98,1,90,55,92,55,100,31,41,99,5,21,95,84,82,10,2,11,19,63,59,27,54,33,16
user_64041,13,19,71,84,31,75,78,6,5,67,65,52,91,3,29,78,18,82,5,50,29,66,84,69,37,16
user_20828,8,28,61,18,7,78,13,34,53,77,49,32,78,36,66,79,8,100,83,91,1,91,80,35,17,16
user_93743,42,33,49,69,78,44,51,25,32,46,9,38,69,16,30,58,29,96,21,91,58,71,86,2,35,17
user_75224,75,2,64,71,44,24,3,88,100,78,55,7,42,46,33,79,58,76,42,23,47,14,69,50,92,17
user_75598,4,52,58,3,3,44,49,24,52,47,40,48,67,3,33,80,65,74,86,48,29,85,6,9,96,17
user_97272,64,17,28,84,14,38,43,80,41,36,63,82,35,54,96,2,54,38,68,23,81,65,77,58,23,17
user_30569,27,23,30,80,61,58,39,33,85,67,98,57,14,79,39,30,74,85,37,11,80,59,63,45,19,18
user_27938,87,77,55,37,86,87,88,13,21,59,26,93,43,9,53,55,53,22,33,71,91,85,70,30,35,18
user_44771,87,65,56,31,55,22,5,67,33,47,28,80,17,83,65,91,14,60,29,86,33,25,77,47,82,18
user_5151,41,54,6,3,41,62,17,37,99,76,66,62,34,36,89,51,85,60,62,59,97,8,64,56,10,18
user_64465,45,20,92,40,17,75,64,19,84,57,89,74,10,3,53,91,24,29,79,91,87,59,33,8,80,19
user_88079,18,67,34,54,50,84,53,38,93,70,16,25,44,25,68,69,53,69,57,61,85,65,5,50,28,19
user_60910,64,32,50,72,82,9,72,24,59,48,37,15,26,15,30,51,64,49,20,40,33,53,4,92,60,19
user_8853,28,21,66,45,53,68,7,1,77,67,67,95,79,73,7,76,55,35,10,1,32,56,38,73,95,19
user_71716,25,17,53,11,16,99,3,23,87,32,4,3,45,62,61,36,32,11,100,76,7,89,21,69,27,20
user_39303,84,69,51,10,36,67,89,25,82,90,92,65,51,10,67,27,51,67,98,3,85,72,27,76,41,20
user_67517,38,40,40,49,6,3,93,8,30,45,69,10,37,46,45,58,60,6,59,3,65,27,29,30,17,20
user_2807,15,38,9,64,82,33,89,16,72,17,63,19,17,75,39,71,34,38,40,23,47,87,23,76,15,20
user_59173,60,26,59,36,89,100,86,2,79,10,24,88,85,71,79,72,70,68,27,86,27,74,81,93,65,21
user_95759,82,60,26,33,20,7,74,80,89,79,71,29,75,7,64,72,91,100,13,71,86,10,83,45,44,21
user_76977,73,61,86,50,1,86,26,71,63,51,68,5,23,99,6,6,74,85,71,76,17,5,47,19,71,21
user_66820,51,2,89,64,94,44,34,65,2,88,4,92,85,9,69,86,67,45,25,47,93,17,72,48,2,21
user_7363,30,70,39,94,9,23,14,61,16,17,38,48,54,87,46,13,24,100,79,53,56,90,70,19,51,22
user_6883,8,48,89,63,23,93,60,91,5,77,43,2,76,96,12,40,63,84,78,17,35,57,93,46,79,22
user_24094,25,53,100,89,87,26,49,74,24,1,15,80,90,29,42,71,42,89,55,10,85,1,85,71,39,22
user_34078,15,41,9,97,16,76,73,85,2,87,29,37,41,74,60,98,27,89,78,42,88,13,41,94,80,22
user_56932,68,87,64,96,59,90,83,3,65,32,29,8,61,39,49,13,86,85,29,85,15,30,57,84,40,23
user_49851,94,49,36,70,45,36,39,49,51,64,90,40,82,18,75,44,61,53,81,68,29,59,88,64,31,23
user_19831,14,79,46,16,55,2,94,53,29,76,95,14,7,89,54,29,14,24,2,42,42,75,73,30,16,23
user_82329,77,65,7,79,73,87,16,73,32,52,70,76,99,34,13,70,73,69,9,74,87,26,72,32,29,23
user_83437,38,79,54,28,40,4,99,84,83,10,5,19,6,26,64,12,4,47,14,47,47,6,52,69,15,24
user_55035,60,46,64,14,77,13,98,17,76,67,60,89,44,61,76,73,53,32,77,49,43,34,66,13,16,24
user_5390,63,3,46,68,73,38,82,85,4,9,46,4,66,29,83,50,68,37,60,58,62,83,48,49,60,24
user_3479,72,56,47,89,44,91,23,23,67,8,39,47,42,60,85,10,62,77,69,46,89,3,58,66,61,24
user_30947,79,6,26,42,83,60,71,79,89,57,60,67,100,78,27,61,16,35,49,5,70,41,72,40,69,25
user_77191,96,69,63,23,84,13,69,22,29,26,44,63,74,55,22,85,19,33,35,16,3,11,84,24,22,25
user_23885,79,2,57,67,28,86,26,33,13,62,15,43,11,94,9,95,5,33,96,55,93,94,21,16,57,25
user_35446,37,67,93,59,38,26,72,80,48,4,95,98,75,91,4,57,91,66,53,74,57,59,57,52,60,25
user_49832,31,12,4,48,35,76,63,10,82,85,98,38,64,45,91,36,68,71,21,55,82,52,86,94,31,26
user_4982,3,28,91,98,6,71,94,17,74,5,64,24,92,62,21,91,80,85,5,54,74,90,54,82,96,26
user_76078,53,44,62,47,60,61,92,29,67,11,88,21,48,21,95,73,1,35,69,29,64,61,94,17,63,26
user_40500,37,8,77,70,49,80,30,37,61,99,4,100,82,21,28,16,73,39,39,46,38,57,19,93,52,26
user_88013,56,52,32,44,6,72,58,17,25,48,24,12,11,10,5,57,61,47,86,28,86,10,76,77,75,27
user_36800,63,79,94,50,79,11,59,13,53,23,33,20,10,35,76,24,75,41,77,79,92,87,99,44,24,27
user_51036,23,19,10,71,43,24,15,17,23,57,32,40,3,40,3,91,15,30,82,18,96,15,67,48,98,27
user_49524,100,99,61,56,15,37,86,13,42,22,67,38,100,83,17,15,54,56,4,13,66,44,8,7,94,27
user_53327,62,87,54,50,10,68,18,54,92,69,20,82,37,66,9,86,34,29,60,58,83,59,18,65,81,28
user_69533,3,59,89,42,52,74,9,64,36,15,67,59,65,36,56,20,83,95,100,92,21,84,68,17,70,28
user_42793,24,51,70,95,16,81,71,43,79,87,38,97,31,74,59,73,32,96,9,2,34,94,57,50,24,28
user_51515,28,67,15,9,48,47,74,53,62,24,63,47,14,46,83,57,47,96,44,96,99,41,75,27,17,28
user_65086,39,99,13,60,15,49,77,59,90,6,33,25,78,36,52,71,35,60,88,24,15,48,95,81,81,29
user_82873,20,60,90,35,41,9,18,73,12,6,65,63,71,35,33,28,93,92,80,98,28,54,35,39,99,29
user_95340,47,77,98,41,54,37,34,17,2,83,27,5,86,80,37,86,66,83,93,46,93,57,87,33,59,29
user_42868,57,24,24,92,51,32,56,20,77,34,20,7,40,80,35,92,41,24,77,21,71,83,33,41,43,29
user_93568,33,37,42,20,46,14,27,15,36,89,83,78,11,25,73,73,37,98,7,16,82,85,87,62,61,30
user_8296,39,48,19,38,45,41,1,87,28,59,18,77,15,50,13,57,51,89,6,57,13,99,86,79,6,30
user_91606,57,28,48,70,81,13,70,49,83,45,87,8,22,25,54,50,23,23,74,26,20,77,40,26,79,30
user_56716,46,9,88,4,48,49,34,32,17,23,21,36,81,58,50,14,10,37,1,15,95,33,33,94,40,30
user_3817,78,72,62,65,8,90,13,97,51,70,87,54,33,2,18,7,93,57,67,47,1,99,34,42,88,31
user_21050,24,88,41,32,52,90,36,28,26,68,63,57,58,30,51,52,84,82,31,47,71,3,38,35,94,31
user_49678,6,95,36,69,37,43,8,27,14,42,72,60,47,100,91,17,2,5,77,1,29,83,49,78,12,31
user_25822,22,30,76,30,24,21,17,98,17,40,90,100,44,87,42,35,49,38,83,59,92,24,65,78,46,31
user_83240,43,93,2,53,93,66,14,58,66,25,37,91,86,54,69,37,71,6,51,70,86,78,77,29,18,32
user_37641,85,87,53,35,77,28,18,62,45,86,44,12,91,82,50,80,85,6,12,13,96,17,40,23,70,32
user_86573,55,52,77,11,32,1,28,20,21,97,94,69,6,63,89,22,16,28,42,93,1,83,57,47,72,32
user_42726,63,58,87,52,59,48,39,80,68,2,37,1,91,22,33,84,48,16,85,58,32,74,43,68,42,32
user_91942,86,45,38,40,92,93,23,25,81,6,15,89,31,52,7,48,97,7,100,98,52,74,6,29,38,33
user_65333,71,93,19,68,14,32,99,73,50,5,37,31,13,94,11,89,75,70,50,90,3,21,3,1,5,33
user_37036,41,51,30,77,81,74,34,51,7,7,6,78,14,18,81,90,10,68,2,18,18,27,82,18,26,33
user_97386,61,20,37,86,90,90,16,29,15,33,52,92,94,15,42,53,82,80,8,93,43,49,31,42,84,33
user_86533,19,66,4,2,28,18,85,28,2,70,19,12,53,98,65,88,6,21,56,74,44,65,72,41,16,34
user_78923,97,50,3,53,17,43,64,59,33,10,13,1,85,98,93,92,84,58,53,93,86,1,86,88,51,34
user_36028,25,57,14,84,60,81,29,82,39,45,28,80,51,58,40,57,66,46,71,86,17,3,68,8,83,34
user_77178,3,22,69,63,64,51,31,93,27,41,95,20,42,76,58,63,45,14,36,5,37,42,34,84,81,34
user_29817,75,38,95,49,55,4,14,58,59,78,54,85,67,32,23,9,56,65,85,90,2,59,82,13,6,35
user_43893,78,87,47,52,39,60,40,58,12,93,99,95,69,98,13,68,97,36,59,97,87,23,6,52,9,35
user_6925,56,48,5,36,6,59,56,86,48,11,29,62,24,66,69,75,27,82,54,23,24,3,35,90,83,35
user_35259,5,37,78,89,16,84,72,86,26,18,30,27,39,83,93,63,63,70,31,21,63,93,7,19,8,35
user_10425,71,43,67,42,5,23,99,33,57,77,57,99,10,15,65,53,35,5,51,53,97,69,37,97,6,36
user_43024,90,38,99,84,22,84,8,58,20,17,64,34,99,13,46,58,36,71,52,25,71,26,15,44,61,36
user_13341,1,97,3,80,73,39,33,86,21,51,86,20,40,23,31,78,68,45,85,80,78,80,57,30,59,36
user_23387,41,84,95,51,40,40,45,1,93,87,53,30,26,10,65,27,53,1,82,16,91,56,55,2,51,36
user_84639,41,91,53,96,16,47,7,41,56,72,6,52,59,76,24,66,11,53,37,67,25,93,75,10,27,37
user_34895,19,4,66,96,52,70,19,60,35,83,55,69,100,88,88,42,49,57,28,62,71,84,65,48,81,37
user_75169,7,68,95,38,83,18,59,50,55,91,54,66,22,59,92,47,39,60,23,56,9,80,56,44,82,37
user_58722,24,21,66,97,34,10,77,44,39,52,48,17,9,68,2,79,32,3,48,14,85,52,10,94,37,37
user_70105,58,2,10,90,87,7,92,84,75,58,53,28,2,47,88,9,83,98,91,81,59,9,25,23,13,38
user_39852,67,22,74,23,32,58,66,88,37,46,2,30,64,68,46,17,20,29,5,19,12,28,73,2,99,38
user_43459,35,86,4,78,12,74,89,59,57,41,24,21,63,23,18,5,81,91,16,90,74,52,93,3,50,38
user_49241,68,93,39,56,74,58,33,23,40,54,50,49,42,35,50,15,77,33,98,26,29,78,65,1,81,38
user_48328,53,70,12,10,86,66,84,60,62,85,11,92,69,9,79,13,86,31,54,75,49,87,20,56,59,39
user_94931,69,65,87,36,27,57,57,60,42,89,53,62,11,93,63,54,97,16,40,85,33,64,98,74,52,39
user_5526,69,68,81,61,47,84,62,57,3,94,64,19,79,78,80,64,56,49,94,17,91,46,84,2,16,39
user_30021,48,34,37,93,50,61,15,95,70,2,31,83,100,36,91,29,48,33,98,62,15,42,40,64,13,39
user_63743,91,49,77,99,48,47,76,24,47,79,42,57,42,92,4,58,92,48,31,81,96,35,92,8,68,40
user_31556,99,6,66,19,80,6,48,88,1,44,99,22,35,2,71,71,97,77,59,82,9,18,61,35,41,40
user_78394,44,47,81,37,93,26,81,83,8,91,85,55,5,17,26,53,99,89,32,89,6,42,3,33,96,40
user_31360,66,2,44,3,52,46,81,39,44,27,63,5,28,57,57,99,7,25,7,98,91,81,38,83,2,40
user_99855,76,74,22,51,28,72,62,94,9,16,77,5,97,28,42,20,34,15,80,55,86,24,12,43,78,41
user_55908,47,77,32,85,2,97,45,84,70,51,81,87,66,76,33,27,81,12,24,46,51,81,92,32,78,41
user_48309,31,100,14,77,79,65,68,34,32,27,12,19,76,92,85,36,44,88,35,38,13,91,86,60,7,41
user_4021,7,36,84,2,13,82,2,34,4,33,61,83,69,84,55,63,62,11,60,36,2,4,25,57,77,41
user_37270,8,75,74,93,69,9,17,89,66,10,76,3,26,84,1,46,90,56,1,67,98,17,96,1,24,42
user_29528,71,41,9,21,26,82,52,32,13,69,88,71,66,37,12,60,90,14,70,60,83,1,63,90,18,42
user_76275,38,99,58,68,100,76,84,3,57,98,86,92,66,80,3,72,15,69,30,29,65,6,37,7,65,42
user_29800,100,35,67,26,35,83,34,2,42,68,55,2,28,90,1,87,90,96,22,39,9,67,15,86,10,42
user_24595,99,45,35,37,64,40,80,6,90,26,78,79,36,42,44,98,100,61,13,84,53,7,57,15,2,43
user_98924,83,24,81,4,7,45,43,8,9,5,82,67,59,56,14,24,52,5,63,53,16,49,15,48,91,43
user_14284,64,78,97,65,79,20,91,43,55,23,97,85,11,88,59,73,39,58,97,94,85,93,67,49,78,43
user_44284,10,36,41,32,91,91,35,56,8,88,99,60,16,29,58,61,23,5,32,49,88,57,39,49,98,43
user_17240,28,19,67,84,86,4,83,57,37,40,100,37,11,25,56,29,28,56,96,68,1,61,28,59,78,44
user_93920,62,65,32,100,83,64,86,68,89,31,85,14,23,9,51,42,33,33,8,41,7,21,95,35,81,44
user_13645,6,97,79,1,28,39,17,98,44,35,82,13,26,36,78,62,95,50,41,76,55,10,7,3,30,44
user_1650,98,90,12,25,4,54,18,27,55,42,4,62,76,67,4,6,49,46,95,40,35,77,70,70,11,44
user_90336,72,86,67,49,9,66,35,98,32,13,44,63,72,92,81,56,66,68,4,10,85,32,37,7,65,45
user_12899,90,7,97,50,84,25,90,15,14,80,2,100,15,45,38,9,19,24,16,78,62,77,54,4,70,45
user_49677,49,55,31,57,39,70,83,55,43,30,68,8,66,98,51,17,71,8,76,77,73,50,9,21,67,45
user_8811,23,50,64,34,92,53,91,83,40,52,82,34,12,85,58,46,73,73,31,90,76,33,6,96,25,45
user_16277,63,47,4,73,53,82,25,14,56,11,69,92,60,87,92,55,49,73,71,4,36,96,90,26,25,46
user_35126,27,60,33,87,71,91,56,76,3,44,26,84,41,44,96,18,98,38,56,8,28,1,24,65,81,46
user_69838,99,70,38,52,2,59,41,88,26,52,100,45,61,53,34,1,89,52,5,18,86,46,65,10,34,46
user_22580,23,69,89,19,73,51,35,37,29,64,33,71,77,81,82,31,100,67,77,89,57,11,51,46,73,46
user_38335,37,77,86,95,54,44,47,13,83,6,30,66,14,4,31,15,41,60,92,25,35,1,49,12,54,47
user_97561,29,30,2,78,1,97,65,79,54,37,82,100,64,67,9,92,30,91,62,47,46,19,11,86,80,47
user_56245,41,35,33,54,43,91,24,92,67,17,17,77,35,51,60,11,1,100,18,46,92,50,86,28,82,47
user_43528,24,20,78,82,24,9,43,17,25,77,44,38,83,80,48,22,98,31,66,20,98,4,87,53,32,47
user_39742,51,99,55,29,17,21,57,61,38,23,78,37,94,37,18,83,74,12,55,84,47,33,11,43,42,48
user_2693,26,35,58,87,100,39,31,28,5,70,9,55,8,79,14,22,61,48,96,16,62,68,73,47,78,48
user_70818,31,54,95,98,100,77,76,59,10,18,50,4,9,45,41,11,79,85,76,56,80,22,9,22,21,48
user_12960,29,72,45,29,91,31,55,62,25,41,27,81,41,49,18,99,85,34,42,74,31,86,25,36,38,48
user_67814,18,88,96,86,58,19,37,1,63,11,11,54,80,54,95,85,70,60,62,34,26,12,35,38,54,49
user_58908,35,26,29,76,79,13,76,34,56,48,62,80,38,29,37,76,52,88,36,46,47,4,80,66,87,49
user_27890,94,91,96,12,71,51,38,33,13,47,62,24,35,65,47,99,57,78,24,43,7,17,7,13,37,49
user_40558,36,64,40,35,50,67,17,68,69,12,33,94,86,32,17,93,41,43,2,78,32,82,57,83,17,49
user_82072,24,69,39,91,47,3,25,73,58,30,78,32,55,7,96,53,31,38,59,69,15,49,44,11,25,50
user_88801,30,84,87,87,36,96,81,5,26,38,66,39,39,62,46,88,95,28,12,25,61,36,16,38,11,50
user_18971,7,44,55,25,60,5,59,85,42,3,78,19,91,34,69,17,52,73,80,40,85,79,95,89,41,50
user_8748,42,21,8,64,93,53,24,3,51,53,5,68,16,30,65,26,47,80,11,44,29,8,94,74,95,50
user_82022,39,58,41,15,62,58,39,97,76,75,21,21,57,59,76,63,68,91,9,73,95,60,89,39,55,51
user_9774,79,72,29,99,43,63,54,82,76,9,60,71,64,95,25,82,31,93,15,78,55,93,47,91,6,51
user_88648,2,33,87,53,12,26,64,63,88,61,35,30,76,61,41,45,4,68,11,65,40,9,88,19,6,51
user_21523,3,48,23,43,11,85,9,98,2,31,91,99,67,49,42,63,14,74,67,86,78,58,30,21,75,51
user_39041,48,43,44,93,50,30,32,72,60,60,53,15,71,9,70,19,43,69,49,21,3,42,46,63,57,52
user_40321,41,90,33,62,6,85,6,97,47,41,99,16,56,35,63,63,11,74,19,19,18,61,13,39,45,52
user_57774,28,4,63,25,13,93,9,4,38,50,81,51,91,37,10,67,9,67,3,50,71,19,72,67,18,52
user_93862,71,14,31,60,63,87,55,79,47,23,75,47,22,56,92,100,9,30,49,57,28,92,20,25,74,52
user_16373,99,98,32,12,53,69,21,52,94,100,88,25,82,65,25,7,76,16,17,80,34,43,89,36,61,53
user_52254,6,50,70,72,56,68,17,4,85,36,66,75,66,56,64,62,92,33,12,75,94,81,39,42,1,53
user_46092,70,54,45,8,66,95,66,12,89,74,53,93,12,4,98,33,33,43,54,7,41,26,18,57,58,53
user_39631,86,56,26,82,57,58,60,85,18,65,88,38,40,82,94,41,65,45,16,18,4,88,2,35,37,53
user_20155,34,87,46,24,97,78,75,44,76,26,65,88,62,63,36,90,94,87,73,32,61,66,76,62,42,54
user_50589,37,94,43,51,75,47,78,40,98,65,2,12,24,24,82,22,37,10,95,30,46,88,63,42,17,54
user_86850,75,24,11,51,7,2,2,67,43,18,83,91,59,14,85,53,39,41,23,69,91,51,13,4,17,54
user_73778,89,96,81,77,43,95,44,45,37,98,8,52,91,2,35,76,19,13,58,23,92,35,18,61,61,54
user_93790,77,18,8,73,13,24,25,82,3,66,83,82,76,39,84,27,69,44,65,43,61,43,79,22,48,55
user_56745,51,30,28,38,54,21,52,17,45,82,93,27,23,37,69,16,7,40,19,94,21,59,7,11,70,55
user_7892,46,40,13,12,11,48,14,21,3,21,49,40,58,41,26,34,18,54,9,5,91,35,86,100,48,55
user_84053,9,62,27,12,53,53,76,82,33,99,74,70,84,100,27,91,83,52,84,19,14,75,63,69,8,55
user_53986,90,92,25,8,83,58,49,2,60,50,73,44,64,76,66,88,72,51,47,29,55,75,64,75,66,56
user_75673,96,9,71,5,74,20,41,40,27,67,75,44,79,82,74,57,30,62,94,71,69,81,89,32,17,56
user_33359,59,26,5,41,70,86,21,73,25,82,72,20,92,50,95,52,99,27,80,99,7,69,10,55,99,56
user_78930,96,50,72,59,75,49,46,54,13,67,10,47,43,80,80,90,46,26,20,91,53,23,37,45,92,56
user_4433,69,55,33,10,45,25,3,72,12,34,3,89,38,90,21,33,67,11,82,15,62,1,15,73,78,57
user_82703,36,25,33,53,64,96,98,19,78,44,76,4,84,61,99,52,48,23,57,71,12,72,9,87,23,57
user_5791,57,93,49,5,21,25,96,6,75,6,94,40,92,41,89,72,29,81,41,3,7,60,80,66,13,57
user_26770,68,4,29,83,94,6,21,50,45,30,93,37,57,95,69,30,20,73,45,24,4,40,30,33,78,57
user_49421,82,40,56,60,18,40,99,48,3,31,87,5,26,56,42,38,61,56,47,47,20,53,4,94,66,58
user_78389,56,35,26,2,25,95,27,69,7,84,65,29,18,41,85,77,32,93,41,44,90,12,54,70,94,58
user_64591,43,44,58,55,98,50,39,4,88,6,53,31,52,82,54,100,66,39,91,35,26,91,36,44,97,58
user_88188,44,61,37,29,34,98,92,22,71,73,17,71,52,95,75,22,88,90,34,23,66,34,55,61,93,58
user_39093,2,69,34,45,58,15,57,3,94,9,46,37,36,73,46,95,74,61,31,57,97,55,72,60,59,59
user_96712,14,13,16,82,82,18,70,89,10,78,70,100,28,50,97,23,10,100,84,77,88,66,53,86,78,59
user_85249,66,28,51,89,11,86,29,98,69,40,33,84,68,44,79,97,19,10,1,94,99,3,81,74,46,59
user_55998,41,30,20,8,25,83,53,55,100,23,27,20,46,8,70,2,98,5,46,77,20,74,82,89,57,59
user_11785,55,95,58,44,22,22,15,70,46,53,40,28,31,43,38,6,37,28,83,46,98,62,12,9,22,60
user_38062,4,5,74,40,28,87,17,99,95,22,65,57,74,93,25,43,76,22,74,34,46,97,68,8,98,60
user_49661,72,19,96,11,32,12,32,77,45,8,94,87,63,3,46,43,72,83,5,85,72,27,65,89,44,60
user_12671,54,91,71,67,6,8,39,58,39,43,87,62,44,64,66,30,46,54,28,29,97,11,30,25,69,60
